Tipo,Titulo,DOI,Ano,Docente
tipo=TrabalhoEventos,titulo=Estudo comparativo de métricas de roteamento utilizando VoIP em redes Mesh em área periférica,doi=,ano=2009,docente=ANDRÉ FIGUEIRA RIKER.xml
tipo=TrabalhoEventos,titulo=A Hybrid Prediction and Assessment Quality of Experience Approach for Videostreaming Applications over Wireless Mesh Networks,doi=,ano=2011,docente=ANDRÉ FIGUEIRA RIKER.xml
tipo=TrabalhoEventos,titulo=ETXMULT: a new routing metric for multimedia applications in wireless mesh networks,doi=,ano=2011,docente=ANDRÉ FIGUEIRA RIKER.xml
tipo=TrabalhoEventos,titulo=Real-time QoE Prediction for Multimedia Applications in Wireless Mesh Networks,doi=,ano=2011,docente=ANDRÉ FIGUEIRA RIKER.xml
tipo=TrabalhoEventos,titulo=Video quality estimator for wireless mesh networks,doi=,ano=2012,docente=ANDRÉ FIGUEIRA RIKER.xml
tipo=TrabalhoEventos,titulo=A Parametric QoE Estimator for Video Streaming Applications over Wireless Mesh Networks,doi=,ano=2012,docente=ANDRÉ FIGUEIRA RIKER.xml
tipo=TrabalhoEventos,titulo=A Mobile QoE Architecture for Heterogeneous Multimedia Wireless Networks,doi=,ano=2012,docente=ANDRÉ FIGUEIRA RIKER.xml
tipo=TrabalhoEventos,titulo=QoE-based Packet Drop Control for 3D-Video Streaming,doi=,ano=2012,docente=ANDRÉ FIGUEIRA RIKER.xml
tipo=TrabalhoEventos,titulo=Middleware Group Communication Mechanisms in M2M environments,doi=,ano=2013,docente=ANDRÉ FIGUEIRA RIKER.xml
tipo=TrabalhoEventos,titulo=Data Aggregation for group communication in Machine-to-Machine environments.,doi=,ano=2014,docente=ANDRÉ FIGUEIRA RIKER.xml
tipo=TrabalhoEventos,titulo=Controlling Data Aggregation and Communication Periodicity in Energy Harvesting Networks,doi=,ano=2015,docente=ANDRÉ FIGUEIRA RIKER.xml
tipo=TrabalhoEventos,titulo=Efficient and Secure M2M Communications for Smart Metering,doi=,ano=2014,docente=ANDRÉ FIGUEIRA RIKER.xml
tipo=TrabalhoEventos,titulo=Data aggregation for machine-to-machine communication with energy harvesting,doi=10.1109/iwmn.2015.7322977,ano=2015,docente=ANDRÉ FIGUEIRA RIKER.xml
tipo=TrabalhoEventos,titulo=Neutral Operation of the Minimum Energy Node in energy-harvesting environments,doi=10.1109/ISCC.2017.8024574,ano=2017,docente=ANDRÉ FIGUEIRA RIKER.xml
tipo=TrabalhoEventos,titulo=Towards High Energy Efficiency in the Internet of Things,doi=10.1109/ISCC47284.2019.8969700,ano=2019,docente=ANDRÉ FIGUEIRA RIKER.xml
tipo=TrabalhoEventos,titulo=Adjusting Group Communication in Dense Internet of Things Networks with Heterogeneous Energy Sources,doi=10.5753/sbcup.2019.6594,ano=2019,docente=ANDRÉ FIGUEIRA RIKER.xml
tipo=TrabalhoEventos,titulo=An Online Quantitative Measure of Density for Low-Power IoT Networks,doi=10.1109/SENSORS47125.2020.9278606,ano=2020,docente=ANDRÉ FIGUEIRA RIKER.xml
tipo=TrabalhoEventos,titulo=An Efficient Heuristic LoRaWAN Adaptive Resource Allocation for IoT Applications,doi=10.1109/iscc50000.2020.9219600,ano=2020,docente=ANDRÉ FIGUEIRA RIKER.xml
tipo=TrabalhoEventos,titulo=Modelo de Otimização de Alocação de Recursos em LoRaWAN para Aplicações de Internet das Coisas,doi=10.5753/wgrs.2020.12450,ano=2020,docente=ANDRÉ FIGUEIRA RIKER.xml
